Mods count: 139
 
                                   jar name                                    |     notes     |                 mod id                 |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
-------------------------------------------------------------------------------+---------------+----------------------------------------+-------------------------------------------+------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.15.jar (modloader)                                       |               | forge                                  | forge                                     | fmlloader-1.20.1-47.4.15.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
alltheleaks-1.1.1+1.20.1-forge.jar                                             |               | alltheleaks                            | All The Leaks                             | 1.1.1+1.20.1-forge           | alltheleaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3c43c2e76093dc7ef5ad6e456d20da9674c653aa | 1225915087     
almanac-1.20.x-forge-1.0.2.jar                                                 |               | almanac                                | Almanac                                   | 1.0.2                        | almanac.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | f0b711df59cd589b088e536ca4134c5e6e73fd58 | 409215932      
almostunified-forge-1.20.1-0.11.0.jar                                          |               | almostunified                          | AlmostUnified                             | 1.20.1-0.11.0                | almostunified-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 24943e5efe95c10367259a7bbd13874ca56ebf0a | 2421938229     
AmbientSounds_FORGE_v6.3.8_mc1.20.1.jar                                        |               | ambientsounds                          | AmbientSounds                             | 6.3.8                        | ambientsounds.mixins.refmap.json, ambientsounds.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                  | 87ea0cd8ec56763185ee0db09eec7c676969e4da | 1273699719     
Amplified_Nether_26.1_v1.2.14.jar                                              |               | amplified_nether                       | Amplified Nether                          | 1.2.14                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | cf78213066fbe4a121d8ad1320386b09a69eaa9a | 1880441343     
ancientstructures-forge-1.20.1-0.0.14.jar                                      |               | ancientstructures                      | Ancient Structures                        | 0.0.14                       | ancientstructures.forge.mixins.json, ancientstructures.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                           | 27261b900b01acd080b37230120e3f4ef4be3a7e | 598807923      
appleskin-forge-mc1.20.1-2.5.1.jar                                             |               | appleskin                              | AppleSkin                                 | 2.5.1+mc1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 81919356f84eab14258db98924b66c3c38e372b1 | 1671637789     
architectury-9.2.14-forge.jar                                                  |               | architectury                           | Architectury                              | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
Armor of the Ages-forge-1.20.1-1.3.15.jar                                      |               | armoroftheages                         | Armor of the Ages                         | 1.3.15                       | armoroftheages.mixins.json, armoroftheages.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                 | bb0bb4263a43b99216b2193500a6ab7ac439763a | 491512416      
AttributeFix-Forge-1.20.1-21.0.5.jar                                           |               | attributefix                           | AttributeFix                              | 21.0.5                       | attributefix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 76d6b2d0f2a3c9842587ad20666ba419cd8c1efa | 3762486546     
BadOptimizations-2.4.1-1.20.1.jar                                              |               | badoptimizations                       | BadOptimizations                          | 2.4.1                        | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                      | 304007dcb0fb15ed1a1bc3771736470dafc5be0f | 3405088325     
balm-forge-1.20.1-7.3.38-all.jar                                               |               | balm                                   | Balm                                      | 7.3.38                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 515905f87268f1eb5af2a9878a84914517efe552 | 3717034118     
